City_ID,City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
70,70,Caravelas,BR,2021-10-28 00:45:16,-17.7125,-39.2481,74.21,86,29,8.16
71,71,Narsaq,GL,2021-10-28 00:45:17,60.9167,-46.05,30.42,61,14,7.16
72,72,Ribeira Grande,PT,2021-10-28 00:45:17,38.5167,-28.7,68.2,75,100,20.27
73,73,Kruisfontein,ZA,2021-10-28 00:45:17,-34.0033,24.7314,62.67,88,100,5.84
74,74,Pandharpur,IN,2021-10-28 00:45:18,17.6667,75.3333,68.67,62,100,7.76
75,75,Havoysund,NO,2021-10-28 00:45:18,70.9963,24.6622,29.28,70,0,22.59
76,76,Korla,CN,2021-10-28 00:45:18,41.7597,86.1469,45.66,46,0,3.31
77,77,Dingle,PH,2021-10-28 00:45:19,10.9995,122.6711,82.36,81,100,10.74
78,78,La Asuncion,VE,2021-10-28 00:45:19,11.0333,-63.8628,76.73,100,100,10.36
79,79,Santa Fe,AR,2021-10-28 00:45:19,-31.6333,-60.7,84.99,40,100,1.99
80,80,Mitsamiouli,KM,2021-10-28 00:45:20,-11.3847,43.2844,78.13,78,6,5.55
81,81,Sorland,NO,2021-10-28 00:45:20,67.667,12.6934,35.67,93,100,33.26
82,82,Vila Franca Do Campo,PT,2021-10-28 00:45:21,37.7167,-25.4333,68.41,84,100,9.62
83,83,Bathsheba,BB,2021-10-28 00:45:21,13.2167,-59.5167,81.21,74,20,13.8
84,84,Mehran,IR,2021-10-28 00:45:21,33.1222,46.1646,65.68,23,3,4.56
85,85,Gela,IT,2021-10-28 00:45:22,37.0803,14.2307,64.94,75,100,16.84
86,86,Birao,CF,2021-10-28 00:45:22,10.2849,22.7882,75.92,58,97,2.1
87,87,Busselton,AU,2021-10-28 00:45:22,-33.65,115.3333,58.05,56,100,10.42
88,88,Mpika,ZM,2021-10-28 00:45:23,-11.8343,31.4529,64.11,74,0,10.51
89,89,Minsk,BY,2021-10-28 00:44:40,53.9,27.5667,51.55,84,100,16.84
90,90,Santa Isabel Do Rio Negro,BR,2021-10-28 00:45:23,-0.4139,-65.0192,74.01,97,100,1.03
91,91,Tessalit,ML,2021-10-28 00:45:23,20.1986,1.0114,82.17,20,84,10.85
92,92,Lugovoy,KZ,2021-10-28 00:45:24,42.9472,72.7644,48.67,55,100,2.21
93,93,Lovozero,RU,2021-10-28 00:45:24,68.005,35.0117,13.77,96,88,3.51
94,94,Tobermory,CA,2021-10-28 00:45:24,45.2501,-81.6665,53.33,72,6,13.44
95,95,Miedzyrzecz,PL,2021-10-28 00:45:25,52.4446,15.578,56.43,91,96,6.64
96,96,Palmetto,US,2021-10-28 00:45:25,27.5214,-82.5723,78.98,72,1,4.61
97,97,Careiro Da Varzea,BR,2021-10-28 00:45:25,-3.2003,-59.8119,75.81,94,100,0.76
98,98,Husavik,IS,2021-10-28 00:45:26,66.0449,-17.3389,33.71,96,100,6.04
99,99,Luebo,CD,2021-10-28 00:45:26,-5.35,21.4167,69.76,99,100,0.74
100,100,Corinth,GR,2021-10-28 00:45:27,37.9407,22.9573,59.9,69,28,5.44
101,101,Castro,BR,2021-10-28 00:42:45,-24.7911,-50.0119,61.65,93,100,8.95
102,102,Riyadh,SA,2021-10-28 00:44:21,24.6877,46.7219,75.34,23,67,11.65
103,103,Sur,OM,2021-10-28 00:45:27,22.5667,59.5289,76.42,68,0,6.8
104,104,Lebu,CL,2021-10-28 00:45:28,-37.6167,-73.65,52.66,90,0,12.55
105,105,Methoni,GR,2021-10-28 00:45:28,36.8197,21.7049,55.26,61,5,8.32
106,106,Casablanca,MA,2021-10-28 00:45:28,33.5928,-7.6192,66.33,100,0,3.0
107,107,Vardo,NO,2021-10-28 00:45:29,70.3705,31.1107,34.59,53,99,14.88
108,108,Jacareacanga,BR,2021-10-28 00:45:29,-6.2222,-57.7528,72.95,98,80,1.79
109,109,Pisco,PE,2021-10-28 00:44:52,-13.7,-76.2167,62.65,77,0,16.11
110,110,Ponta Do Sol,PT,2021-10-28 00:45:29,32.6667,-17.1,68.72,70,14,2.51
111,111,Lalibela,ET,2021-10-28 00:45:30,12.0333,39.0333,54.18,56,15,6.13
112,112,Margate,GB,2021-10-28 00:45:30,51.3813,1.3862,56.91,84,26,4.0
113,113,Bizhbulyak,RU,2021-10-28 00:45:30,53.6967,54.2642,32.67,62,14,19.24
114,114,Pangoa,PE,2021-10-28 00:45:31,-12.1167,-73.0,72.28,77,100,1.59
115,115,Saint-Augustin,CA,2021-10-28 00:43:08,51.226,-58.6502,38.21,78,6,2.48
116,116,Bar Harbor,US,2021-10-28 00:45:31,44.3876,-68.2039,49.98,72,90,14.0
117,117,Iqaluit,CA,2021-10-28 00:43:02,63.7506,-68.5145,28.13,86,75,3.0
118,118,Perdika,GR,2021-10-28 00:45:32,39.3689,20.3039,58.06,55,1,5.82
119,119,Muros,ES,2021-10-28 00:45:32,42.7762,-9.0603,59.85,83,15,7.23
120,120,Dunbar,US,2021-10-28 00:45:32,38.3606,-81.7374,50.54,87,90,1.01
121,121,Bom Jesus Da Lapa,BR,2021-10-28 00:45:33,-13.255,-43.4181,78.85,51,0,8.93
122,122,Pitimbu,BR,2021-10-28 00:45:33,-7.4706,-34.8086,77.59,80,48,12.57
123,123,Biltine,TD,2021-10-28 00:45:33,14.5333,20.9167,79.48,17,13,8.21
124,124,Bertoua,CM,2021-10-28 00:45:34,4.5833,13.6833,67.08,97,100,1.97
125,125,Kismayo,SO,2021-10-28 00:45:34,-0.3582,42.5454,78.12,81,14,12.21
126,126,Cheremukhovo,RU,2021-10-28 00:45:35,60.3484,59.9851,29.73,92,100,6.4
127,127,Sao Domingos Do Maranhao,BR,2021-10-28 00:45:35,-5.5758,-44.3853,79.86,55,18,1.92
128,128,Mouila,GA,2021-10-28 00:45:35,-1.8685,11.0559,72.64,99,100,1.77
129,129,Mbour,SN,2021-10-28 00:45:35,14.422,-16.9638,81.45,72,97,6.93
130,130,Tres Arroyos,AR,2021-10-28 00:45:36,-38.3739,-60.2798,74.59,44,0,11.77
131,131,Ancud,CL,2021-10-28 00:45:36,-41.8697,-73.8203,53.13,92,0,4.85
132,132,Shache,CN,2021-10-28 00:45:36,38.4167,77.2406,45.73,39,100,2.24
133,133,Sinop,TR,2021-10-28 00:45:37,41.7711,34.8709,42.71,93,23,1.63
134,134,Cayenne,GF,2021-10-28 00:45:37,4.9333,-52.3333,82.09,83,75,5.99
135,135,Enterprise,US,2021-10-28 00:45:37,36.0252,-115.2419,73.49,30,1,1.01
136,136,Grindavik,IS,2021-10-28 00:45:38,63.8424,-22.4338,37.87,87,0,10.36
137,137,Corn Island,NI,2021-10-28 00:45:38,12.1694,-83.0418,83.12,72,30,7.47
138,138,Longyearbyen,SJ,2021-10-28 00:45:38,78.2186,15.6401,21.04,68,75,6.91
139,139,Vestmannaeyjar,IS,2021-10-28 00:45:39,63.4427,-20.2734,42.4,72,61,11.74
140,140,Sinnamary,GF,2021-10-28 00:45:39,5.3833,-52.95,77.88,88,14,7.72
141,141,Alghero,IT,2021-10-28 00:41:15,40.5589,8.3181,59.09,82,0,2.3
142,142,Qasigiannguit,GL,2021-10-28 00:45:40,68.8193,-51.1922,14.25,75,92,2.82
143,143,Japura,ID,2021-10-28 00:45:40,-0.3167,102.35,77.99,89,100,1.97
144,144,Sisimiut,GL,2021-10-28 00:45:40,66.9395,-53.6735,24.35,70,100,5.97
145,145,Uddevalla,SE,2021-10-28 00:45:41,58.3478,11.9424,55.76,97,100,5.99
146,146,Mahebourg,MU,2021-10-28 00:45:41,-20.4081,57.7,71.26,88,20,4.61
147,147,Buraydah,SA,2021-10-28 00:45:41,26.326,43.975,73.85,17,100,11.36
148,148,Bambous Virieux,MU,2021-10-28 00:45:42,-20.3428,57.7575,71.22,88,20,4.61
149,149,Touros,BR,2021-10-28 00:45:42,-5.1989,-35.4608,79.7,75,5,15.05
150,150,Varazdin,HR,2021-10-28 00:45:42,46.3044,16.3378,43.03,87,10,0.78
151,151,Lodja,CD,2021-10-28 00:40:53,-3.4833,23.4333,69.19,98,100,1.9
152,152,Hermanus,ZA,2021-10-28 00:45:43,-34.4187,19.2345,61.9,95,21,2.39
153,153,Bol,TD,2021-10-28 00:45:43,13.4586,14.7147,82.29,40,99,10.0
154,154,Havre-Saint-Pierre,CA,2021-10-28 00:45:43,50.2334,-63.5986,42.8,93,1,5.75
155,155,Bull Savanna,JM,2021-10-28 00:45:44,17.8868,-77.5902,76.91,82,16,7.7
156,156,Camacupa,AO,2021-10-28 00:45:44,-12.0167,17.4833,61.83,85,97,1.41
157,157,Ishimbay,RU,2021-10-28 00:45:44,53.4545,56.0415,34.0,59,97,16.96
158,158,Las Tunas,CU,2021-10-28 00:45:45,20.9617,-76.9511,80.73,84,94,2.82
159,159,Mirabad,AF,2021-10-28 00:45:45,30.4362,61.8383,56.01,49,0,11.68
160,160,Dudinka,RU,2021-10-28 00:45:45,69.4058,86.1778,-11.15,100,89,1.95
161,161,Rocha,UY,2021-10-28 00:45:46,-34.4833,-54.3333,64.83,73,0,4.56
