City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
341,Kalmunai,LK,77.58,overcast clouds,7.4167,81.8167,VS Villa
342,Formosa,AR,87.78,broken clouds,-26.1775,-58.1781,Hotel Portal del Sol
345,Fuerte Olimpo,PY,88.72,overcast clouds,-21.0415,-57.8738,Hospedaje DAMI
346,Cap Malheureux,MU,72.09,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
348,Carauari,BR,84.76,overcast clouds,-4.8828,-66.8958,Hotel Fellip
354,Atar,MR,87.15,overcast clouds,20.5169,-13.0499,Oumou Elghoura
356,Misratah,LY,72.48,overcast clouds,32.3754,15.0925,Almasa Hotel
359,Paita,PE,75.76,few clouds,-5.0892,-81.1144,Hotel Náutico de Paita
360,Basoko,CD,73.27,broken clouds,1.2391,23.616,Jackyna Hotel
361,Calama,CL,77.49,clear sky,-22.4667,-68.9333,Diego De Almagro Calama
362,Epe,NG,78.39,overcast clouds,6.5841,3.9834,MAGVILLE HOTEL
364,Domoni,KM,77.05,broken clouds,-12.2569,44.5319,Al Djadid
365,Caravelas,BR,75.99,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
367,Mitsamiouli,KM,77.83,clear sky,-11.3847,43.2844,Foyer ADM
368,Madras,IN,80.58,light intensity drizzle,13.0878,80.2785,City home
381,Ambo,PE,72.36,overcast clouds,-10.1308,-76.2047,La Loma Resort
382,Melo,UY,76.95,broken clouds,-32.3667,-54.1833,Hotel Juana
383,Conceicao Do Araguaia,BR,90.63,light rain,-8.2578,-49.2647,Tarumã Tropical Hotel
384,Elat,IL,78.64,clear sky,29.5581,34.9482,Club Hotel Eilat
390,Karaton,ID,75.36,overcast clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
391,Hit,IQ,80.49,overcast clouds,33.6416,42.8251,صالون زيرو
394,Koregaon,IN,71.53,clear sky,18.65,74.0833,hotel nisarg lounge
395,Aden,YE,83.91,light rain,12.7794,45.0367,Sama Emirate Hotel
396,Mecca,SA,81.66,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
